platform,video_id,url,title,author,duration_sec,play_count,like_count,source_keywords,already_commented,first_seen_at
bilibili,BV1a6421f7M2,https://www.bilibili.com/video/BV1a6421f7M2/,反馈成功平台将做相应处理 撤销 稍后再看167.0万10501:082026年如何挑一台让你彻底躺平的扫地机器人？从导航到基站，一篇看懂所有关键参数！放大镜评测 · 2024-07-10,,,,,扫地机器人,0,2026-05-17T07:13:31.852Z
bilibili,BV1DiLg6pE2q,https://www.bilibili.com/video/BV1DiLg6pE2q/,反馈成功平台将做相应处理 撤销 稍后再看598024:50【2026年618扫地机器人推荐】35款万字大横评！全程无广！建议收藏！2026年扫地机器人选购攻略！全价位段，石头/科沃斯/米家/追觅/大疆/戴森，怎么选大中测评 · 22小时前,,,,,扫地机器人,0,2026-05-17T07:13:31.851Z
bilibili,BV11u411R7R4,https://www.bilibili.com/video/BV11u411R7R4/,反馈成功平台将做相应处理 撤销 稍后再看8.6万9205:38扫地机器人它是如何工作的：开工之前先画地图 走路全靠传感器看懂工作室 · 2022-02-02,,,,,扫地机器人,0,2026-05-17T07:13:31.850Z
bilibili,BV15dfqB2Eod,https://www.bilibili.com/video/BV15dfqB2Eod/,反馈成功平台将做相应处理 撤销 稍后再看30.3万25907:082026年扫地机正确版本答案：宽得离谱，热得过分，拖地王者追同学装修日记 · 02-25,,,,,扫地机器人,0,2026-05-17T07:13:31.849Z
bilibili,BV1jq4y1r7Ek,https://www.bilibili.com/video/BV1jq4y1r7Ek/,反馈成功平台将做相应处理 撤销 稍后再看2.0万106:55小米免洗扫拖机器人2499款开箱静态体验酒窝老狐 · 2021-11-05,,,,,扫地机器人,0,2026-05-17T07:13:31.848Z
bilibili,BV1hb6yBkEyW,https://www.bilibili.com/video/BV1hb6yBkEyW/,反馈成功平台将做相应处理 撤销 稍后再看80.2万120403:27锐评当代恶臭年轻人家电使用频率嘉伟室内设计 · 01-31,,,,,扫地机器人,0,2026-05-17T07:13:31.847Z
bilibili,BV1MdAFejEHH,https://www.bilibili.com/video/BV1MdAFejEHH/,反馈成功平台将做相应处理 撤销 稍后再看9.7万11103:54科技前瞻！长出一整条机械臂的扫地机器人？山同学搞测评 · 2025-02-18,,,,,扫地机器人,0,2026-05-17T07:13:31.846Z
bilibili,BV1wN97BHE3k,https://www.bilibili.com/video/BV1wN97BHE3k/,反馈成功平台将做相应处理 撤销 稍后再看24.4万12009:03三四千档扫地机怎么选？2026开年新品横评，圆盘VS滚筒VS履带，性价比王者揭晓！痞仔伯爵 · 04-02,,,,,扫地机器人,0,2026-05-17T07:13:31.845Z
bilibili,BV1DjTNzaEsv,https://www.bilibili.com/video/BV1DjTNzaEsv/,反馈成功平台将做相应处理 撤销 稍后再看4.9万5602:48扫地机器人VS洗地机？谁才是最佳选择西西Luna · 2025-06-06,,,,,扫地机器人,0,2026-05-17T07:13:31.844Z
bilibili,BV1ez4y167JC,https://www.bilibili.com/video/BV1ez4y167JC/,反馈成功平台将做相应处理 撤销 稍后再看41.7万90407:29当蟑螂遇到扫地机器人！又一个灭蟑螂神器诞生了！歪点子实验室 · 2021-01-05,,,,,扫地机器人,0,2026-05-17T07:13:31.843Z
bilibili,BV1hP4y1A7JU,https://www.bilibili.com/video/BV1hP4y1A7JU/,· 2022-02-02,工业扫地机器人在行动,845,23000,,扫地机器人,0,2026-05-17T07:13:31.842Z
bilibili,BV1qmRCYwEbx,https://www.bilibili.com/video/BV1qmRCYwEbx/,想当孙子吗，那你可以买个扫地机,想当孙子吗，那你可以买个扫地机,272,501000,,扫地机器人,0,2026-05-17T07:13:31.841Z
bilibili,BV1Js5b6SE3F,https://www.bilibili.com/video/BV1Js5b6SE3F/,二代了，可以买了！大疆扫地机器人ROMO P2深度体验：这次垃圾都能看懂了！,二代了，可以买了！大疆扫地机器人ROMO P2深度体验：这次垃圾都能看懂了！,534,80000,,扫地机器人,0,2026-05-17T07:13:31.839Z
bilibili,BV1XRRKB3Eu3,https://www.bilibili.com/video/BV1XRRKB3Eu3/,【扫地机器人推荐】2026年618扫地机器人终极选购大合集：从689元到6473元全价位段深度解析，避坑指南与真实种草，海尔、米家、科沃斯、石头、追觅、云鲸,【扫地机器人推荐】2026年618扫地机器人终极选购大合集：从689元到6473元全价位段深度解析，避坑指南与真实种草，海尔、米家、科沃斯、石头、追觅、云鲸,2024,27000,,扫地机器人,0,2026-05-17T07:13:31.838Z
bilibili,BV1xA5L64E9Y,https://www.bilibili.com/video/BV1xA5L64E9Y/,【2026高端旗舰】扫地机又迭代到什么程度了？云鲸/科沃斯/追觅 智能扫拖实测,【2026高端旗舰】扫地机又迭代到什么程度了？云鲸/科沃斯/追觅 智能扫拖实测,482,56000,,扫地机器人,0,2026-05-17T07:13:31.837Z
bilibili,BV1QG9CBrEXp,https://www.bilibili.com/video/BV1QG9CBrEXp/,【618扫地机器人横评】618中端扫地机三巨头，谁能扛住极限造脏：追觅S60PRO，石头P20MAX，科沃斯T90PRO,【618扫地机器人横评】618中端扫地机三巨头，谁能扛住极限造脏：追觅S60PRO，石头P20MAX，科沃斯T90PRO,1278,222000,,扫地机器人,0,2026-05-17T07:13:31.836Z
bilibili,BV1Mh411n7w1,https://www.bilibili.com/video/BV1Mh411n7w1/,开箱试玩无基站还能原地自动洗拖布的扫拖机器人 酱油抹的很匀！,开箱试玩无基站还能原地自动洗拖布的扫拖机器人 酱油抹的很匀！,332,56000,,扫地机器人,0,2026-05-17T07:13:31.835Z
bilibili,BV1ZB4y1r7y9,https://www.bilibili.com/video/BV1ZB4y1r7y9/,开箱试玩以内X3扫吸拖一体机 备用大尘盒超能装！,开箱试玩以内X3扫吸拖一体机 备用大尘盒超能装！,291,102000,,扫地机器人,0,2026-05-17T07:13:31.834Z
bilibili,BV1kB4y1c7Xg,https://www.bilibili.com/video/BV1kB4y1c7Xg/,开箱试玩可以自动集尘收垃圾的neabot宜宝扫地机 直接扬沙子测试,开箱试玩可以自动集尘收垃圾的neabot宜宝扫地机 直接扬沙子测试,377,62000,,扫地机器人,0,2026-05-17T07:13:31.833Z
bilibili,BV1a64y1v7Ur,https://www.bilibili.com/video/BV1a64y1v7Ur/,科沃斯N9扫地机器人和云鲸扫地机器人测评对比，两个同价位怎么选？,科沃斯N9扫地机器人和云鲸扫地机器人测评对比，两个同价位怎么选？,144,41000,,扫地机器人,0,2026-05-17T07:13:31.832Z
bilibili,BV14p9aBKEaT,https://www.bilibili.com/video/BV14p9aBKEaT/,一镜到底！扫地机封闭场地大乱斗，科沃斯，云鲸，追觅，石头谁更强？,一镜到底！扫地机封闭场地大乱斗，科沃斯，云鲸，追觅，石头谁更强？,528,158000,,扫地机器人,0,2026-05-17T07:13:31.831Z
bilibili,BV15v5Q63Edy,https://www.bilibili.com/video/BV15v5Q63Edy/,【618推荐】2026年高性价比扫地机器人推荐 | 连续测评三个月，敢讲真话，告诉你谁更靠谱！| 10款扫地机横评 追觅/友望/小米/云鲸/美的/石头/科沃斯,【618推荐】2026年高性价比扫地机器人推荐 | 连续测评三个月，敢讲真话，告诉你谁更靠谱！| 10款扫地机横评 追觅/友望/小米/云鲸/美的/石头/科沃斯,821,87000,,扫地机器人,0,2026-05-17T07:13:31.830Z
bilibili,BV1TK4y1R7Q5,https://www.bilibili.com/video/BV1TK4y1R7Q5/,开箱试玩宜宝Neabot扫地机 带上它去扫广场 直接气到报警提示,开箱试玩宜宝Neabot扫地机 带上它去扫广场 直接气到报警提示,429,55000,,扫地机器人,0,2026-05-17T07:13:31.830Z
bilibili,BV1xL9jBREQ6,https://www.bilibili.com/video/BV1xL9jBREQ6/,【扫地机器人横测】都2026年了，扫地机器人到底怎么选？看这一篇就够了！,【扫地机器人横测】都2026年了，扫地机器人到底怎么选？看这一篇就够了！,658,199000,,扫地机器人,0,2026-05-17T07:13:31.829Z
bilibili,BV17HAVz4E79,https://www.bilibili.com/video/BV17HAVz4E79/,柔光砖+火锅红油！米家扫拖机器人 6 Max 能拖干净吗？,柔光砖+火锅红油！米家扫拖机器人 6 Max 能拖干净吗？,833,979000,,扫地机器人,0,2026-05-17T07:13:31.828Z
bilibili,BV1285t64EcJ,https://www.bilibili.com/video/BV1285t64EcJ/,【26年618扫地机器人推荐】你需要的机型，都在这里！一期视频解决618选购难题！小白必看！建议收藏！,【26年618扫地机器人推荐】你需要的机型，都在这里！一期视频解决618选购难题！小白必看！建议收藏！,957,61000,,扫地机器人,0,2026-05-17T07:13:31.826Z
bilibili,BV12h9LBREzp,https://www.bilibili.com/video/BV12h9LBREzp/,【扫地机】2026年上半年全品牌扫地机器人实测横评，都26年了怎么还有这么多奇葩产品...追觅丨石头丨科沃斯丨戴森丨海尔丨友望,【扫地机】2026年上半年全品牌扫地机器人实测横评，都26年了怎么还有这么多奇葩产品...追觅丨石头丨科沃斯丨戴森丨海尔丨友望,2061,369000,,扫地机器人,0,2026-05-17T07:13:31.824Z
bilibili,BV1kj576xESf,https://www.bilibili.com/video/BV1kj576xESf/,纯自费测完4款主流扫地机，这表现有点拉啊！,纯自费测完4款主流扫地机，这表现有点拉啊！,1324,64000,,扫地机器人,0,2026-05-17T07:13:31.823Z
bilibili,BV16s596dEDj,https://www.bilibili.com/video/BV16s596dEDj/,618扫地机怎么选？ 实测拆解50+款扫地机，2k-4k+全价位全品牌，石头/云鲸/友望/追觅/科沃斯选哪家？,618扫地机怎么选？ 实测拆解50+款扫地机，2k-4k+全价位全品牌，石头/云鲸/友望/追觅/科沃斯选哪家？,723,82000,,扫地机器人,0,2026-05-17T07:13:31.822Z
bilibili,BV1dR5r62EVk,https://www.bilibili.com/video/BV1dR5r62EVk/,【618大促扫地机】隔一年就有“智商”代差？！云鲸、石头 、追觅、大疆怎么买到最超值？,【618大促扫地机】隔一年就有“智商”代差？！云鲸、石头 、追觅、大疆怎么买到最超值？,653,35000,,扫地机器人,0,2026-05-17T07:13:31.820Z
